"","ID","Intercept","umol.L.sec","Temp.C"
"939","G9_ND_24C_O2",206.332473564626,-0.0140498911564627,24.0394464285714
"940","G9_ND_26C_O2",190.342578850137,-0.0147479626453212,25.8690862068966
"941","G9_ND_28C_O2",185.200771919192,-0.0159751659451659,27.794125
"942","G9_ND_30C_O2",163.426962860999,-0.0158291228070175,30.1281320754717
"943","G9_ND_32C_O2",142.630328639887,-0.0141808597603946,31.8663469387755
"944","G9_ND_34C_O2",163.407116584565,-0.0188308702791462,33.91445
"945","G9_ND_36C_O2",156.870606013072,-0.0225194584500466,35.5811463414634
"946","G9_ND_39C_O2",57.4918910866911,-0.0364494912494913,39.0116285714286
"947","G9_ND_42C_O2",84.9192016317017,-0.0119195804195807,42.8537777777778
"948","G9_NL_16C_O2",278.252264204204,0.0359069669669671,16.284
"949","G9_NL_20C_O2",254.049385301091,0.0561905824853191,19.8322641509434
"950","G9_NL_22C_O2",225.606022543567,0.0597756766777902,22.0510425531915
"951","G9_NL_24C_O2",225.176990441177,0.0651530525846701,23.8785660377358
"952","G9_NL_26C_O2",224.79094546244,0.0580878093790708,25.9430188679245
"953","G9_NL_28C_O2",210.678054580589,0.0584707597716293,28.0208431372549
"954","G9_NL_30C_O2",210.211271686275,0.0497764283559578,29.9720563380282
"955","G9_NL_32C_O2",190.956201810382,0.0390519433719434,31.7694791666667
"956","G9_NL_34C_O2",157.906336688625,0.0309531225296443,34.0726538461538
"957","G9_NL_36C_O2",138.033390868347,-0.0165001120448179,36.0132894736842
"958","G9_NL_39C_O2",108.143669230769,-0.0315538461538466,38.6354666666667
"959","G9_NL_42C_O2",115.184064202627,-0.0362040712945591,41.9964565217391
"960","P1_AD_16C_O2",256.908110890932,-0.0151363590965838,15.8951460674157
"961","P1_AD_20C_O2",238.723780364372,-0.0231804993252361,19.8590869565217
"962","P1_AD_22C_O2",235.86544091954,-0.0248271264367815,21.70390625
"963","P1_AD_24C_O2",234.119363508772,-0.0267161403508772,23.7171212121212
"964","P1_AD_26C_O2",233.236813252362,-0.0283285695006747,25.7472916666667
"965","P1_AD_28C_O2",216.890892705279,-0.028695857771261,27.6881395348837
"966","P1_AD_30C_O2",202.455551752562,-0.0284310610205347,29.7834897959184
"967","P1_AD_32C_O2",179.972873314541,-0.0282528071411792,32.1390392156863
"968","P1_AD_34C_O2",152.894228327228,-0.0296157916157916,33.7015806451613
"969","P1_AD_36C_O2",149.861419398749,-0.027996455026455,35.8966153846154
"970","P1_AD_39C_O2",120.888886466165,-0.0317375939849624,38.7379130434783
